"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"numtS_and_A2_n1000_l100_rep16_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep16_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep16_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep16_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep16_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep17_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep17_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep17_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep17_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep17_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep17_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep18_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep19_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep1_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep1_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep1_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep1_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep1_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep1_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep1_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep20_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep20_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep21_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep22_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep23_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep23_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep23_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep23_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep23_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"3"
